,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,PASSING,PASSING,PASSING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,DEFENSE,DEFENSE,DEFENSE,DEFENSE,Unnamed: 18_level_0
,RK,NAME,TEAM,POS,WK,OPP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS
0,1,Tre Tucker,LV,WR,3,WAS,0,0,0,4,0,8,145,3,0,0,0,0,40.9
1,2,Puka Nacua,LAR,WR,4,IND,0,0,0,0,0,13,170,1,0,0,0,0,36.0
2,3,Ashton Jeanty,LV,RB,4,CHI,0,0,0,138,1,2,17,2,0,0,0,0,33.5
3,4,George Pickens,DAL,WR,4,GB,0,0,0,0,0,8,134,2,0,0,0,0,33.4
4,5,Jonathan Taylor,IND,RB,3,TEN,0,0,0,102,3,3,16,0,0,0,0,0,32.8
5,6,Josh Jacobs,GB,RB,4,DAL,0,0,0,86,2,4,71,0,0,0,0,0,31.7
6,7,Kenneth Gainwell,PIT,RB,4,MIN,0,0,0,99,2,6,35,0,0,0,0,0,31.4
7,8,Dak Prescott,DAL,QB,4,GB,319,3,0,2,1,0,0,0,0,0,0,0,31.0
8,9,Tuli Tuipulotu,LAC,OLB,4,NYG,0,0,0,0,0,0,0,0,4,0,1,0,30.4
9,10,Romeo Doubs,GB,WR,4,DAL,0,0,0,0,0,6,58,3,0,0,0,0,29.8
10,11,David Montgomery,DET,RB,3,BAL,0,0,0,151,2,1,13,0,0,0,0,0,29.4
11,12,Caleb Williams,CHI,QB,3,DAL,298,4,0,12,0,0,0,0,0,0,0,0,29.1
12,13,Jalen Hurts,PHI,QB,3,LAR,226,3,0,40,1,0,0,0,0,0,0,0,29.0
13,14,Isaiah Rodgers,MIN,CB,3,CIN,0,0,0,0,0,0,0,0,0,1,2,1,29.0
14,15,Hunter Henry,NE,TE,3,PIT,0,0,0,0,0,8,90,2,0,0,0,0,29.0
15,16,Justice Hill,BAL,RB,4,KC,0,0,0,76,1,5,41,1,0,0,0,0,28.7
16,17,Bijan Robinson,ATL,RB,4,WAS,0,0,0,75,1,4,106,0,0,0,0,0,28.1
17,18,Woody Marks,HOU,RB,4,TEN,0,0,0,69,1,4,50,1,0,0,0,0,27.9
18,19,Omarion Hampton,LAC,RB,4,NYG,0,0,0,128,1,5,37,0,0,0,0,0,27.5
19,20,Matthew Stafford,LAR,QB,4,IND,375,3,0,4,0,0,0,0,0,0,0,0,27.4
20,21,Patrick Mahomes,KC,QB,4,BAL,270,4,0,5,0,0,0,0,0,0,0,0,27.3
21,22,Justin Fields,NYJ,QB,4,MIA,226,1,0,81,1,0,0,0,0,0,0,0,27.1
22,23,Mark Andrews,BAL,TE,3,DET,0,0,0,0,0,6,91,2,0,0,0,0,27.1
23,24,Lamar Jackson,BAL,QB,3,DET,288,3,0,35,0,0,0,0,0,0,0,0,27.0
24,25,Jahmyr Gibbs,DET,RB,3,BAL,0,0,0,67,2,5,32,0,0,0,0,0,26.9
25,26,Jordan Love,GB,QB,4,DAL,337,3,0,28,0,0,0,0,0,0,0,0,26.3
26,27,Christian McCaffrey,SF,RB,4,JAX,0,0,0,49,0,6,92,1,0,0,0,0,26.1
27,28,Geno Smith,LV,QB,3,WAS,289,3,0,5,0,0,0,0,0,0,0,0,26.1
28,29,Amon-Ra St. Brown,DET,WR,4,CLE,0,0,0,0,0,7,70,2,0,0,0,0,26.0
29,30,Bo Nix,DEN,QB,4,CIN,326,2,1,7,1,0,0,0,0,0,0,0,25.7
30,31,Bucky Irving,TB,RB,4,PHI,0,0,0,63,0,5,102,1,0,0,0,0,25.5
31,32,Drake London,ATL,WR,4,WAS,0,0,0,0,0,8,110,1,0,0,0,0,25.0
32,33,Omarion Hampton,LAC,RB,3,DEN,0,0,0,70,1,6,59,0,0,0,0,0,24.9
33,34,Josh Allen,BUF,QB,4,NO,209,2,1,45,1,0,0,0,0,0,0,0,24.9
34,35,Garrett Wilson,NYJ,WR,3,TB,0,0,0,0,0,10,84,1,0,0,0,0,24.4
35,36,Cam Skattebo,NYG,RB,3,KC,0,0,0,60,1,6,61,0,0,0,0,0,24.1
36,37,Christian McCaffrey,SF,RB,3,ARI,0,0,0,52,0,10,88,0,0,0,0,0,24.0
37,38,Courtland Sutton,DEN,WR,3,LAC,0,0,0,0,0,6,118,1,0,0,0,0,23.8
38,39,Quentin Johnston,LAC,WR,4,NYG,0,0,0,0,0,8,98,1,0,0,0,0,23.8
39,40,DK Metcalf,PIT,WR,4,MIN,0,0,0,0,0,5,126,1,0,0,0,0,23.6
40,41,Jordan Mason,MIN,RB,3,CIN,0,0,0,116,2,0,0,0,0,0,0,0,23.6
41,42,Drake Maye,NE,QB,4,CAR,203,2,0,11,1,0,0,0,0,0,0,0,23.2
42,43,Josh Allen,BUF,QB,3,MIA,213,3,0,25,0,0,0,0,0,0,0,0,23.0
43,44,A.J. Brown,PHI,WR,3,LAR,0,0,0,0,0,6,109,1,0,0,0,0,22.9
44,45,Puka Nacua,LAR,WR,3,PHI,0,0,0,6,0,11,112,0,0,0,0,0,22.8
45,46,Justin Jefferson,MIN,WR,4,PIT,0,0,0,0,0,10,126,0,0,0,0,0,22.6
46,47,James Cook,BUF,RB,4,NO,0,0,0,117,1,3,18,0,0,0,0,0,22.5
47,48,Nico Collins,HOU,WR,3,JAX,0,0,0,0,0,8,104,1,0,0,0,0,22.4
48,49,Quinshon Judkins,CLE,RB,4,DET,0,0,0,82,1,4,33,0,0,0,0,0,21.5
49,50,Carson Wentz,MIN,QB,4,PIT,350,2,2,12,0,0,0,0,0,0,0,0,21.2
50,51,Jake Ferguson,DAL,TE,3,CHI,0,0,0,0,0,13,82,0,0,0,0,0,21.2
51,52,Chase McLaughlin,TB,K,3,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,21.0
52,53,James Cook,BUF,RB,3,MIA,0,0,0,108,1,3,10,0,0,0,0,0,20.8
53,54,Amon-Ra St. Brown,DET,WR,3,BAL,0,0,0,0,0,7,77,1,0,0,0,0,20.7
54,55,Jaxon Smith-Njigba,SEA,WR,3,NO,0,0,0,0,0,5,96,1,0,0,0,0,20.6
55,56,Marvin Mims Jr.,DEN,WR,4,CIN,0,0,0,16,1,6,69,0,0,0,0,0,20.5
56,57,George Karlaftis,KC,DE,3,NYG,0,0,0,0,0,0,0,0,1,0,0,0,20.4
57,58,Marcus Mariota,WAS,QB,3,LV,207,1,0,40,1,0,0,0,0,0,0,0,20.3
58,59,Garrett Wilson,NYJ,WR,4,MIA,0,0,0,0,0,6,82,1,0,0,0,0,20.2
59,60,Emeka Egbuka,TB,WR,4,PHI,0,0,0,0,0,4,101,1,0,0,0,0,20.1
60,61,Deebo Samuel Sr.,WAS,WR,4,ATL,0,0,0,9,0,6,72,1,0,0,0,0,20.1
61,62,DeVonta Smith,PHI,WR,3,LAR,0,0,0,0,0,8,60,1,0,0,0,0,20.0
62,63,Jaxson Dart,NYG,QB,4,LAC,111,1,0,54,1,0,0,0,0,0,0,0,19.8
63,64,Luther Burden III,CHI,WR,3,DAL,0,0,0,7,0,3,101,1,0,0,0,0,19.8
64,65,RJ Harvey,DEN,RB,4,CIN,0,0,0,58,0,4,40,1,0,0,0,0,19.8
65,66,Dallas Goedert,PHI,TE,4,TB,0,0,0,0,0,4,37,2,0,0,0,0,19.7
66,67,Ricky Pearsall,SF,WR,3,ARI,0,0,0,0,0,8,117,0,0,0,0,0,19.7
67,68,Travis Etienne Jr.,JAX,RB,4,SF,0,0,0,124,1,1,1,0,0,0,0,0,19.5
68,69,Keenan Allen,LAC,WR,3,DEN,0,0,0,0,0,7,65,1,0,0,0,0,19.5
69,70,Jalen Hurts,PHI,QB,4,TB,130,2,0,62,0,0,0,0,0,0,0,0,19.4
70,71,Bobby Wagner,WAS,ILB,3,LV,0,0,0,0,0,0,0,0,2,0,0,0,19.3
71,72,Michael Pittman Jr.,IND,WR,3,TEN,0,0,0,0,0,6,73,1,0,0,0,0,19.3
72,73,Drake Maye,NE,QB,3,PIT,268,2,1,45,0,0,0,0,0,0,0,0,19.2
73,74,Kyren Williams,LAR,RB,3,PHI,0,0,0,94,0,2,18,1,0,0,0,0,19.2
74,75,Courtland Sutton,DEN,WR,4,CIN,0,0,0,0,0,5,81,1,0,0,0,0,19.1
75,76,Javonte Williams,DAL,RB,4,GB,0,0,0,85,1,3,15,0,0,0,0,0,19.0
76,77,Baker Mayfield,TB,QB,4,PHI,289,2,1,13,0,0,0,0,0,0,0,0,18.9
77,78,Michael Penix Jr.,ATL,QB,4,WAS,313,2,1,2,0,0,0,0,0,0,0,0,18.7
78,79,Derwin James Jr.,LAC,S,3,DEN,0,0,0,0,0,0,0,0,1,0,0,0,18.6
79,80,Marvin Harrison Jr.,ARI,WR,4,SEA,0,0,0,0,0,6,66,1,0,0,0,0,18.6
80,81,Tremaine Edmunds,CHI,LB,3,DAL,0,0,0,0,0,0,0,0,0,2,0,0,18.5
81,82,T.J. Watt,PIT,LB,3,NE,0,0,0,0,0,0,0,0,2,0,1,1,18.5
82,83,C.J. Stroud,HOU,QB,4,TEN,233,2,0,11,0,0,0,0,0,0,0,0,18.4
83,84,Tyler Warren,IND,TE,4,LAR,0,0,0,3,1,5,70,0,0,0,0,0,18.3
84,85,Tyquan Thornton,KC,WR,3,NYG,0,0,0,0,0,5,71,1,0,0,0,0,18.1
85,86,Kenneth Walker III,SEA,RB,3,NO,0,0,0,38,2,1,12,0,0,0,0,0,18.0
86,87,Maxx Crosby,LV,DE,4,CHI,0,0,0,0,0,0,0,0,0,1,1,0,18.0
87,88,Kyle Pitts Sr.,ATL,TE,4,WAS,0,0,0,0,0,5,70,1,0,0,0,0,18.0
88,89,Khalil Shakir,BUF,WR,4,NO,0,0,0,0,0,5,69,1,0,0,0,0,17.9
89,90,Aidan Hutchinson,DET,DE,4,CLE,0,0,0,0,0,0,0,0,2,0,1,0,17.9
90,91,George Pickens,DAL,WR,3,CHI,0,0,0,0,0,5,68,1,0,0,0,0,17.8
91,92,DeShon Elliott,PIT,S,4,MIN,0,0,0,0,0,0,0,0,1,1,1,0,17.8
92,93,Baker Mayfield,TB,QB,3,NYJ,233,1,0,44,0,0,0,0,0,0,0,0,17.7
93,94,Darren Waller,MIA,TE,4,NYJ,0,0,0,0,0,3,27,2,0,0,0,0,17.7
94,95,Jahmyr Gibbs,DET,RB,4,CLE,0,0,0,91,1,2,6,0,0,0,0,0,17.7
95,96,Brock Purdy,SF,QB,4,JAX,309,2,2,13,0,0,0,0,0,0,0,0,17.7
96,97,Dalton Kincaid,BUF,TE,3,MIA,0,0,0,0,0,5,66,1,0,0,0,0,17.6
97,98,Saquon Barkley,PHI,RB,4,TB,0,0,0,43,1,4,31,0,0,0,0,0,17.4
98,99,Rashod Bateman,BAL,WR,3,DET,0,0,0,0,0,5,63,1,0,0,0,0,17.3
99,100,De'Von Achane,MIA,RB,4,NYJ,0,0,0,99,1,1,2,0,0,0,0,0,17.1
